League_Name,Home_Team_Goal,Away_Team_Goal,Year
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,5,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,3,3,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,4,0,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,4,2,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2009-01-01 00:00:00
Belgium Jupiler League,0,6,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,4,0,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,4,0,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,3,2009-01-01 00:00:00
Belgium Jupiler League,4,3,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,4,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,2,3,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,4,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,4,0,2008-01-01 00:00:00
Belgium Jupiler League,1,0,2008-01-01 00:00:00
Belgium Jupiler League,2,1,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,0,2,2008-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,1,4,2008-01-01 00:00:00
Belgium Jupiler League,1,0,2008-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,0,3,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,5,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,4,0,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,2,3,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,1,3,2008-01-01 00:00:00
Belgium Jupiler League,3,2,2008-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,0,0,2008-01-01 00:00:00
Belgium Jupiler League,4,2,2008-01-01 00:00:00
Belgium Jupiler League,3,0,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,0,1,2008-01-01 00:00:00
Belgium Jupiler League,1,0,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,0,1,2008-01-01 00:00:00
Belgium Jupiler League,1,0,2008-01-01 00:00:00
Belgium Jupiler League,0,1,2008-01-01 00:00:00
Belgium Jupiler League,0,0,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,2,1,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,1,0,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,4,1,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,2,2,2008-01-01 00:00:00
Belgium Jupiler League,2,1,2008-01-01 00:00:00
Belgium Jupiler League,2,1,2008-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,4,1,2008-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,0,1,2008-01-01 00:00:00
Belgium Jupiler League,0,0,2008-01-01 00:00:00
Belgium Jupiler League,2,1,2008-01-01 00:00:00
Belgium Jupiler League,3,2,2008-01-01 00:00:00
Belgium Jupiler League,3,1,2008-01-01 00:00:00
Belgium Jupiler League,2,1,2008-01-01 00:00:00
Belgium Jupiler League,4,0,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,2,4,2008-01-01 00:00:00
Belgium Jupiler League,1,3,2008-01-01 00:00:00
Belgium Jupiler League,2,0,2008-01-01 00:00:00
Belgium Jupiler League,0,1,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,7,1,2008-01-01 00:00:00
Belgium Jupiler League,0,0,2008-01-01 00:00:00
Belgium Jupiler League,0,0,2008-01-01 00:00:00
Belgium Jupiler League,1,1,2008-01-01 00:00:00
Belgium Jupiler League,1,2,2008-01-01 00:00:00
Belgium Jupiler League,3,0,2008-01-01 00:00:00
Belgium Jupiler League,0,3,2008-01-01 00:00:00
Belgium Jupiler League,2,2,2008-01-01 00:00:00
Belgium Jupiler League,4,1,2008-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,4,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,3,3,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,4,0,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,2,3,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,3,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,5,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2010-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,2,3,2010-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,3,2,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,5,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,2,0,2009-01-01 00:00:00
Belgium Jupiler League,1,4,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,0,4,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,0,4,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,1,3,2010-01-01 00:00:00
Belgium Jupiler League,2,2,2010-01-01 00:00:00
Belgium Jupiler League,1,2,2010-01-01 00:00:00
Belgium Jupiler League,1,4,2010-01-01 00:00:00
Belgium Jupiler League,2,0,2010-01-01 00:00:00
Belgium Jupiler League,2,0,2010-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,1,4,2010-01-01 00:00:00
Belgium Jupiler League,3,0,2010-01-01 00:00:00
Belgium Jupiler League,0,0,2010-01-01 00:00:00
Belgium Jupiler League,0,0,2010-01-01 00:00:00
Belgium Jupiler League,3,1,2010-01-01 00:00:00
Belgium Jupiler League,0,1,2010-01-01 00:00:00
Belgium Jupiler League,4,1,2010-01-01 00:00:00
Belgium Jupiler League,0,2,2010-01-01 00:00:00
Belgium Jupiler League,1,2,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,0,5,2010-01-01 00:00:00
Belgium Jupiler League,1,2,2010-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,2,0,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,0,2,2010-01-01 00:00:00
Belgium Jupiler League,4,0,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,0,2,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,2,0,2010-01-01 00:00:00
Belgium Jupiler League,3,1,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,0,1,2010-01-01 00:00:00
Belgium Jupiler League,3,1,2010-01-01 00:00:00
Belgium Jupiler League,4,0,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,0,0,2010-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,1,2,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,1,0,2010-01-01 00:00:00
Belgium Jupiler League,2,0,2010-01-01 00:00:00
Belgium Jupiler League,2,0,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,3,1,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,1,5,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2010-01-01 00:00:00
Belgium Jupiler League,1,1,2010-01-01 00:00:00
Belgium Jupiler League,3,1,2010-01-01 00:00:00
Belgium Jupiler League,0,4,2010-01-01 00:00:00
Belgium Jupiler League,2,1,2010-01-01 00:00:00
Belgium Jupiler League,0,0,2010-01-01 00:00:00
Belgium Jupiler League,1,4,2010-01-01 00:00:00
Belgium Jupiler League,2,2,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,4,1,2009-01-01 00:00:00
Belgium Jupiler League,0,1,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,2,3,2009-01-01 00:00:00
Belgium Jupiler League,1,0,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,1,3,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,3,0,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,0,2,2009-01-01 00:00:00
Belgium Jupiler League,0,4,2009-01-01 00:00:00
Belgium Jupiler League,5,1,2009-01-01 00:00:00
Belgium Jupiler League,2,1,2009-01-01 00:00:00
Belgium Jupiler League,1,1,2009-01-01 00:00:00
Belgium Jupiler League,1,2,2009-01-01 00:00:00
